cell_x,cell_y,frequency
63643,53206,28
63644,53206,15
63638,53223,238
63627,53220,2
63616,53226,116
63628,53220,55
63644,53207,60
63631,53206,41
63642,53212,20
63637,53229,78
63618,53220,32
63615,53231,11
63636,53229,95
63650,53218,94
63619,53220,152
63621,53212,190
63654,53217,7
63616,53231,6
63646,53213,16
63642,53211,385
63616,53232,40
63649,53218,97
63627,53208,150
63619,53223,173
63654,53216,33
63622,53212,198
63624,53229,21
63637,53211,81
63618,53207,165
63647,53213,495
63620,53220,179
63635,53229,39
63628,53209,198
63646,53212,379
63618,53223,174
63654,53223,159
63619,53208,300
63617,53232,44
63643,53227,98
63628,53208,348
63652,53222,88
63641,53212,151
63642,53227,518
63621,53210,455
63622,53211,182
63629,53209,313
63653,53216,35
63647,53214,36
63635,53230,27
63651,53222,15
63623,53211,509
63645,53212,241
63638,53211,360
63623,53229,6
63613,53222,5
63650,53223,35
63653,53223,59
63621,53220,42
63623,53228,143
63646,53214,60
63612,53222,32
63634,53230,70
63648,53218,277
63621,53219,171
63647,53215,75
63653,53222,130
63637,53217,24
63653,53217,88
63641,53226,629
63622,53210,158
63638,53217,62
63619,53209,180
63614,53216,47
63647,53218,65
63645,53211,222
63641,53211,275
63618,53232,13
63622,53209,146
63649,53219,302
63650,53222,21
63634,53208,380
63630,53209,79
63652,53217,333
63636,53220,322
63647,53217,272
63619,53229,9
63618,53231,72
63644,53211,400
63653,53226,70
63619,53230,132
63630,53210,293
63620,53209,294
63622,53219,267
63611,53222,121
63625,53215,24
63638,53218,98
63651,53223,24
63628,53206,8
63636,53221,332
63614,53215,13
63619,53222,26
63637,53216,34
63640,53212,785
63640,53226,143
63649,53223,183
63623,53209,205
63615,53215,26
63639,53211,97
63622,53228,145
63623,53227,23
63633,53230,48
63620,53222,410
63653,53225,40
63620,53229,154
63652,53216,60
63623,53226,33
63639,53223,27
63612,53223,128
63640,53225,952
63649,53224,207
63637,53221,443
63639,53217,116
63634,53209,34
63646,53217,175
63651,53216,381
63614,53213,88
63626,53214,168
63635,53209,338
63652,53221,115
63623,53219,49
63654,53229,82
63629,53210,35
63646,53228,64
63623,53218,466
63614,53218,33
63644,53210,187
63639,53212,543
63647,53216,18
63646,53216,239
63643,53210,584
63621,53229,273
63629,53211,75
63619,53216,49
63615,53213,111
63640,53222,64
63633,53231,67
63628,53207,2
63616,53215,57
63640,53223,113
63639,53225,463
63640,53217,572
63654,53228,115
63619,53215,237
63641,53221,23
63645,53228,23
63618,53230,62
63624,53209,53
63651,53221,158
63629,53207,27
63645,53227,124
63632,53231,68
63633,53215,324
63636,53209,219
63651,53217,20
63628,53211,94
63620,53215,226
63622,53226,40
63624,53208,131
63638,53221,191
63645,53216,340
63624,53218,483
63615,53218,38
63650,53216,10
63613,53223,148
63634,53215,733
63634,53212,177
63616,53214,16
63621,53228,2
63651,53218,23
63650,53215,424
63638,53225,71
63632,53230,122
63656,53230,6
63655,53228,135
63641,53223,26
63638,53226,355
63653,53229,146
63640,53216,191
63634,53213,126
63617,53214,63
63621,53222,364
63651,53224,19
63616,53213,114
63648,53223,259
63655,53230,7
63651,53220,302
63636,53210,188
63638,53216,47
63627,53211,90
63641,53224,510
63651,53214,51
63627,53214,472
63639,53216,561
63650,53224,223
63615,53217,17
63638,53215,569
63623,53225,43
63644,53228,207
63625,53208,166
63652,53229,13
63635,53213,266
63632,53223,272
63616,53217,63
63645,53210,18
63646,53226,6
63616,53212,73
63655,53231,29
63650,53219,65
63644,53215,454
63625,53217,91
63645,53209,116
63653,53224,15
63640,53213,89
63613,53224,90
63637,53226,287
63650,53220,667
63638,53222,9
63633,53223,199
63637,53210,260
63647,53231,101
63655,53227,84
63636,53217,10
63646,53225,11
63627,53212,54
63652,53230,177
63639,53222,164
63633,53216,299
63618,53214,293
63619,53214,17
63641,53213,387
63641,53215,9
63652,53214,68
63631,53230,118
63650,53225,188
63624,53213,99
63632,53216,643
